date,minTemp,maxTemp,precip
1949-11-21,275.45,283.45,0.00
1949-11-22,273.35,285.25,0.00
1949-11-23,275.45,282.55,1.40
1949-11-24,273.35,282.55,0.00
1949-11-25,271.25,278.95,0.40
1949-11-26,274.35,278.65,12.10
1949-11-27,275.45,278.15,1.00
1949-11-28,275.05,278.85,0.40
1949-11-29,273.95,276.95,0.00
1949-11-30,273.05,276.05,0.00
1949-12-01,269.15,274.95,0.00
1949-12-02,270.15,276.95,4.00
1949-12-03,270.15,273.85,5.20
1949-12-04,272.25,282.05,0.00
1949-12-05,271.95,277.95,0.00
1949-12-06,272.25,275.95,2.10
1949-12-07,272.65,276.95,0.00
1949-12-08,270.15,275.95,11.70
1949-12-09,271.85,283.05,10.40
1949-12-10,270.95,273.85,6.30
1949-12-11,269.15,272.85,0.00
1949-12-12,263.95,269.85,0.00
1949-12-13,265.95,270.85,0.00
1949-12-14,261.85,277.95,0.00
1949-12-15,271.05,287.25,0.00
1949-12-16,270.15,274.05,3.50
1949-12-17,270.15,276.95,10.40
1949-12-18,269.05,275.95,6.00
1949-12-19,269.05,273.85,0.00
1949-12-20,271.25,274.95,0.00
1949-12-21,271.85,274.95,0.00
1949-12-22,271.25,274.95,0.00
1949-12-23,273.35,275.15,0.00
1949-12-24,268.05,273.95,0.00
1949-12-25,267.05,271.85,0.00
1949-12-26,265.95,274.95,6.00
1949-12-27,273.25,275.95,0.00
1949-12-28,271.15,275.95,0.00
1949-12-29,267.05,271.85,0.00
1949-12-30,268.05,273.85,0.00
1949-12-31,265.95,271.05,0.00
